manager_id,manager_name,type,style,strategy,sector,active
205,Alpha Trading Fund Management,Hedge Fund,Systematic,Multi Strategy,Global,False
206,Alpha Z Advisors,CTA,Systematic,Multi Strategy,Global,False
207,AlphaBee Asset Management,CTA,Fund of Funds,Diversified,Global,True
208,Alphabeth Quant,Crypto,Discretionary,Crypto LS,Global,True
209,AlphaCentric Advisors,CTA,Systematic,Option Writer,Equity,True
210,Alphachain Capital,Crypto,Systematic,Crypto LS,Global,False
211,AlphaGen Capital Limited,CTA,Discretionary,Fundamental,Agricultural,False
212,AlphaMetrics Capital Management,CTA,Systematic,Multi Strategy,Commodity,False
213,AlphaSimplex Group,CTA,Systematic,Trend Following,Global,True
214,Alpina Investments,CTA,Systematic,Multi Strategy,Currency,False
215,Alpine,Event Driven,Discretionary,MergerArb,Global,False
216,Alpine Trading,CTA,Discretionary,Fundamental,Commodity,False
217,ALPS,AssetAllocation,Systematic,Diversified,Global,False
218,Alpstone Capital,CTA,Discretionary,Fundamental,Global,False
219,Alsback Forvaltning,Equity LS,Discretionary,Fundamental,Europe,False
220,Alt Tab Capital,Crypto,Discretionary,Crypto LS,Global,False
222,Altaloma Asset Management,CTA,Systematic,Short Term,Equity,False
223,Altana Wealth,Crypto,Discretionary,Digital Asset Allocator,Global,True
224,Altarius Asset Management,CTA,Systematic,Multi Strategy,Currency,False
226,Altavest Wealth Management,CTA,Fund of Funds,Diversified,Global,False
227,Altcoin Advisors,Crypto,Systematic,Market Neutral,Global,False
228,altcoin optimisation,Crypto,Discretionary,Digital Asset Allocator,Global,False
229,ALTeban1 Homel Vascula,Crypto,Discretionary,Digital Asset Allocator,Global,False
230,Altegris Advisors,CTA,Fund of Funds,Diversified,Global,True
232,Alternative Asset Management Limited,CTA,Discretionary,Fundamental,Currency,False
233,Alternative Capital Advisors,CTA,Discretionary,Fundamental,Agricultural,True
234,Alternative Equity Partners,Hedge Fund,Fund of Funds,Diversified,Global,True
235,Alternative Innovations Financial Services,CTA,Systematic,Trend Following,Commodity,False
236,Alternative Liquid Fund,Hedge Fund,Fund of Funds,Diversified,Sidepocket,True
237,Altin Holdings,CTA,Fund of Funds,Diversified,Global,False
238,Altiq,CTA,Systematic,Short Term,Global,True
239,Altis Partners Jersey Limited,CTA,Systematic,Trend Following,Global,True
240,Altitude Priple Advisory,CTA,Systematic,Multi Strategy,Equity,False
241,Altonomy,Crypto,Index,Index,Index,False
