manager_id,manager_name,type,style,strategy,sector
543,Bitcoin Ether Risk-adjusted Index,Crypto,Discretionary,Digital Asset Allocator,Global
547,BitSage Asset Management,Crypto,Discretionary,Digital Asset Allocator,Global
559,Blackrock,Equity LS,Systematic,Multi Strategy,US
560,Blackstone,Hedge Fund,Fund of Funds,Diversified,Global
572,Block Asset Management Sarl,Crypto,Fund of Funds,Crypto LS,Global
577,Blockchain Growth Index,Crypto,Discretionary,Digital Asset Allocator,Global
583,Blue Bar Futures Trading Management,CTA,Discretionary,Multi Strategy,Agricultural
4369,Blue Coin Capital,Crypto,Discretionary,Crypto LS,Global
586,Blue Creek Capital Management,CTA,Discretionary,Fundamental,Global
587,Blue Diamond Asset Management,CTA,Systematic,Market Neutral,Volatility
594,Bluebalance,CTA,Discretionary,Fundamental,Global
4007,BlueCove Limited,Fixed Income,Systematic,Multi Strategy,Global
4214,Bluestem Capital Management,CTA,Systematic,Multi Strategy,Volatility
4028,Boardman Bay Capital Management,Equity LS,Discretionary,Fundamental,Technology
611,Bocken Trading,CTA,Discretionary,Fundamental,Agricultural
618,Boothbay Fund Management,Hedge Fund,Fund of Funds,Diversified,Global
619,Borea Asset Management AS,Fixed Income,Credit,Fundamental,Nordic
629,Bowmoor Capital,CTA,Systematic,Trend Following,Global
630,BPI,Market Neutral,Discretionary,Fundamental,Europe
3918,Bradesco Asset Management,Fixed Income,Discretionary,Fundamental,Emerging
631,Bramshill,Fixed Income,Discretionary,Fundamental,US
3942,Brasil Capital,Equity LS,Discretionary,Fundamental,Emerging
637,Brevan Howard Asset Management,CTA,Discretionary,Fundamental,Global
641,Bridgewater,Fixed Income,Systematic,Fundamental,Global
4320,Bridgeway Capital Management,Equity LS,Systematic,Fundamental,Global
642,Brigade,Fixed Income,Discretionary,Fundamental,Credit
4008,Bright Stream Capital Management,Hedge Fund,Discretionary,Fundamental,Global
3740,Brilliance Asset Management,Equity LS,Discretionary,Fundamental,Asia
4022,Broadmark Asset Mgmt,Equity LS,Systematic,Tactical,US
648,Brummer & Partners,Hedge Fund,Fund of Funds,Diversified,Nordic
651,BTG Pactual,CTA,Discretionary,Fundamental,Global
662,Burren,Event Driven,Discretionary,Fundamental,Global
664,Butler,Fixed Income,Discretionary,Fundamental,Europe
